restaurant_name,location,listed_in(type),rest_type,rate_clean,votes_clean,dining_votes,delivery_votes,approx_cost_clean,online_order,book_table
12 To 12 BBQ,Panampilly Nagar, Kochi,Biryani,4.0,104,104,0,546.7283950617284,No,Yes
1441 Pizzeria,Sion, Mumbai,Desserts,3.9111320156200433,0,0,0,699.7493333333333,No,No
1944 -The HOCCO Kitchen,Navrangpura, Ahmedabad,Shake,4.3,0,0,0,712.5675675675676,No,No
4M Biryani House,Musheerabad, Hyderabad,Chinese,4.15,0,0,0,423.140625,No,No
7 Plates,Frazer Town, Bangalore,Seafood,4.061132015620044,0,0,0,483.564245810056,No,No
99 Pancakes,Matunga East, Mumbai,Beverages,3.95,751,92,659,438.695,Yes,Yes
99 Variety Dosa & Pav Bhaji,Koramangala 6th Block, Bangalore,Maharashtrian,3.7,164,164,0,234.26993865030676,No,Yes
A Balaji Santosh Dhaba,Langer Houz, Hyderabad,Chinese,3.85,983,9,974,577.1977401129944,Yes,Yes
A-One Bombay Biryani,Shahibagh, Ahmedabad,Biryani,3.4,25,25,0,327.7142857142857,No,Yes
A1 Ambur Briyani & Kababs,Aminijikarai, Chennai,Chinese,3.85,92,92,0,508.188679245283,No,Yes
A2B - Adyar Ananda Bhavan,Purasavakkam, Chennai,Juices,3.9,137,137,0,354.9747674418605,No,Yes
A2B - Adyar Ananda Bhavan,Shanti Nagar, Bangalore,Beverages,3.75,6,6,0,354.9747674418605,No,Yes
AB's - Absolute Barbecues,T. Nagar, Chennai,Desserts,4.2,0,0,0,692.2276190476191,No,No
Acme Candy Food,Malakpet, Hyderabad,Desserts,3.892724144860015,0,0,0,524.7058823529412,No,No
Adhiya Beef Biriyani,Nungambakkam, Chennai,Biryani,3.711132015620044,0,0,0,327.3207547169811,No,No
Agarwal Caterers,Shastri Nagar, Jaipur,Fast Food,3.95,54,54,0,264.70213500784934,No,Yes
Agarwal's Desi Khana Khazana,Kilpauk, Chennai,Rajasthani,3.6,510,26,484,409.71069182389937,Yes,Yes
Akbar Fast Food,Charminar Area, Hyderabad,North Indian,3.35,10,10,0,252.0,No,Yes
Al - Hamoor Arabian Restaurant,Chandrayanagutta, Hyderabad,Desserts,3.811132015620044,117,1,116,856.0,Yes,Yes
Al Akbar Fast Food Corner,Charminar, Hyderabad,Beverages,4.05,5,5,0,304.75,No,Yes
Al Baik,Egmore, Chennai,Beverages,3.25,764,48,716,757.919191919192,Yes,Yes
Al Baik Fast Food,Lal Darwaja, Ahmedabad,Sichuan,3.85,18,18,0,290.0617283950617,No,Yes
Al Baik Xpress,Khurram Nagar, Lucknow,Sandwich,3.4000000000000004,97,97,0,435.8813559322034,No,Yes
Al Faham,Vepery, Chennai,Beverages,3.6,117,117,0,534.1370967741937,No,Yes
Al Farooj Sonu Kabab,Ghansi Bazaar, Hyderabad,North Indian,3.95,66,66,0,363.3636363636364,No,Yes
Al Rabea Al Arabi Cafeteria,Saroor Nagar, Hyderabad,Fast Food,3.8,40,40,0,325.9047619047619,No,Yes
Al Rabea Mandi House,Charminar, Hyderabad,Mandi,4.061132015620044,199,1,198,932.8571428571428,Yes,Yes
Al Taza,Kaloor, Kochi,Beverages,4.4,367,367,0,347.6470588235294,No,Yes
Alibaba,Khurram Nagar, Lucknow,Momos,3.861132015620044,0,0,0,283.2888888888889,No,No
Alinea Restaurant & Banquet,C G Road, Ahmedabad,Desserts,3.95,363,363,0,471.7307692307692,No,Yes
